,NOME,CPF,IDADE,VALOR_EMPRESTIMO,DATA_EMPRESTIMO,FAIXA_ETARIA,PRAZO_MESES,TAXAS_IDADE,DATA,TAXA_MENSAL_CDI,PRIMEIRA_PARCELA_EMPRESTIMO,AMORTIZACAO
65021,Igor Cunha Cunha,007.181.743-30,24,279484.0,2024-06-04,21-25,60,0.0073,2024-06-04,0.87,6011.02,3559.11
161676,Noemi Pereira Santos,078.662.930-40,63,289212.0,2024-06-06,61-65,84,0.111,2024-06-06,0.87,5070.19,2233.02
132769,Ana Pereira Matos,672.009.304-58,86,269212.0,2024-06-05,86-90,48,1.27,2024-06-05,0.87,9028.7,3267.56
18964,Rosimeri Ferreira Oliveira,668.870.674-12,29,256856.0,2024-06-03,26-30,108,0.0091,2024-06-03,0.87,3693.02,1435.0
90045,Pedro Pereira Cunha,716.764.894-95,39,94270.0,2024-06-04,36-40,84,0.0112,2024-06-04,0.87,1593.11,762.4
70720,Gloria Rodrigues Sant' Anna,801.974.602-16,51,284130.0,2024-06-04,51-55,108,0.05,2024-06-04,0.87,4161.93,1547.93
89302,Leticia Prenda Cristina,618.084.789-40,39,247100.0,2024-06-04,36-40,48,0.0112,2024-06-04,0.87,6335.48,4158.03
29458,Carlos Cunha Pereira,515.337.486-67,46,189736.0,2024-06-03,46-50,108,0.033,2024-06-03,0.87,2757.88,1044.56
86804,Augusto Maia Cristina,314.960.112-60,68,184203.0,2024-06-04,66-70,36,0.18,2024-06-04,0.87,6171.1,4236.97
140387,Priscila Ferreira Oliveira,165.787.902-09,36,57837.0,2024-06-05,36-40,72,0.0112,2024-06-05,0.87,1088.31,578.65
158488,Fatima Pereira Prenda,675.613.325-05,73,226582.0,2024-06-06,71-75,96,0.33,2024-06-06,0.87,3987.82,1268.84
140710,Telma Costa Santos,452.175.192-07,39,144624.0,2024-06-05,36-40,108,0.0112,2024-06-05,0.87,2081.37,806.94
113507,Daniel Sande Oliveira,995.260.154-95,62,168982.0,2024-06-05,61-65,36,0.111,2024-06-05,0.87,5594.24,3936.53
27409,Alexandre Sande Sant' Anna,709.586.625-25,50,245370.0,2024-06-03,46-50,84,0.033,2024-06-03,0.87,4180.2,1964.51
28175,Igor Cunha Cunha,471.139.649-74,46,130622.0,2024-06-03,46-50,60,0.033,2024-06-03,0.87,2829.37,1649.85
142414,Gabriel Maia Cristina,056.052.766-70,57,110233.0,2024-06-05,56-60,108,0.071,2024-06-05,0.87,1630.1,592.81
68745,Marcelo Santos Silva,045.985.355-47,26,61365.0,2024-06-04,26-30,72,0.0091,2024-06-04,0.87,1153.91,614.45
18640,Augusto Silva Albernaz,077.880.427-57,28,180347.0,2024-06-03,26-30,60,0.0091,2024-06-03,0.87,3880.76,2295.33
197440,Carlos Sande Ferreira,338.923.606-69,77,63913.0,2024-06-06,76-80,36,0.51,2024-06-06,0.87,2264.7,1382.7
118973,Irani Costa Souza,923.086.685-71,29,86275.0,2024-06-05,26-30,84,0.0091,2024-06-05,0.87,1456.87,698.43
183889,Samuel Albernaz Sant' Anna,476.072.136-35,87,32665.0,2024-06-06,86-90,108,1.27,2024-06-06,0.87,778.08,79.05
156638,Samuel Prenda Pereira,159.772.241-33,93,97330.0,2024-06-06,91+,108,2.79,2024-06-06,0.87,3637.23,74.95
81410,Maria Silva Cristina,000.325.015-60,33,61874.0,2024-06-04,31-35,60,0.0095,2024-06-04,0.87,1331.57,787.39
54800,Ana Sande Sande,998.856.688-37,98,207880.0,2024-06-04,91+,48,2.79,2024-06-04,0.87,9257.09,1648.68
29906,Daniel Matos Santos,739.449.947-28,35,276301.0,2024-06-03,31-35,96,0.0095,2024-06-03,0.87,4274.07,1844.0
155208,Carlos Silva Cunha,146.540.954-89,98,106791.0,2024-06-06,91+,72,2.79,2024-06-06,0.87,4226.2,317.65
7742,Gabriel Ferreira Rodrigues,979.009.171-01,95,35210.0,2024-06-03,91+,72,2.79,2024-06-03,0.87,1393.42,104.73
107857,Priscila Oliveira Pereira,469.673.740-36,93,275847.0,2024-06-05,91+,120,2.79,2024-06-05,0.87,10232.98,136.98
51072,Leticia Cunha Cristina,951.980.263-01,81,85236.0,2024-06-04,81-85,48,0.838,2024-06-04,0.87,2616.34,1160.51
609,Gloria Prenda Rodrigues,879.198.687-77,82,234107.0,2024-06-03,81-85,108,0.838,2024-06-03,0.87,4763.37,764.82
182157,Charles Albernaz Maia,740.302.390-05,35,93513.0,2024-06-06,31-35,72,0.0095,2024-06-06,0.87,1758.65,936.2
19539,Rosimeri Santos Sant' Anna,128.438.528-03,27,273503.0,2024-06-03,26-30,60,0.0091,2024-06-03,0.87,5885.31,3480.95
154299,Ana Albernaz Maia,090.300.211-60,99,97807.0,2024-06-06,91+,72,2.79,2024-06-06,0.87,3870.66,290.92
287,Daniel Silva Pereira,867.637.915-77,83,215788.0,2024-06-03,81-85,72,0.838,2024-06-03,0.87,5230.96,1545.3
107667,Gloria Ferreira Sant' Anna,386.177.294-90,98,237910.0,2024-06-05,91+,36,2.79,2024-06-05,0.87,11996.38,3288.87
64478,Marcelo Prenda Oliveira,439.253.411-10,22,90023.0,2024-06-04,21-25,108,0.0073,2024-06-04,0.87,1293.27,503.5
132784,Pedro Silva Sant' Anna,858.228.856-59,88,290418.0,2024-06-05,86-90,120,1.27,2024-06-05,0.87,6746.54,531.59
156166,Charles Sant' Anna Maia,720.527.147-90,92,286368.0,2024-06-06,91+,108,2.79,2024-06-06,0.87,10701.58,220.51
120619,Ana Maia Oliveira,216.167.583-41,51,291842.0,2024-06-05,51-55,48,0.05,2024-06-05,0.87,7548.48,4863.53
167923,Carlos Santos Cristina,483.959.270-53,29,154630.0,2024-06-06,26-30,108,0.0091,2024-06-06,0.87,2223.24,863.89
149103,Maria Maia Silva,896.716.532-35,79,247589.0,2024-06-05,76-80,96,0.51,2024-06-05,0.87,4669.42,1252.69
83889,Noemi Albernaz Maia,982.685.432-80,87,270439.0,2024-06-04,86-90,120,1.27,2024-06-04,0.87,6282.42,495.03
6053,Pedro Sant' Anna Costa,201.957.107-20,93,94315.0,2024-06-03,91+,84,2.79,2024-06-03,0.87,3629.13,177.2
1421,Carlos Maia Rodrigues,112.217.527-23,82,46295.0,2024-06-03,81-85,108,0.838,2024-06-03,0.87,941.96,151.24
132083,Carlos Sande Ferreira,600.752.901-03,32,194780.0,2024-06-05,31-35,96,0.0095,2024-06-05,0.87,3013.03,1299.94
59363,Gloria Costa Pereira,673.046.635-96,75,106224.0,2024-06-04,71-75,60,0.33,2024-06-04,0.87,2493.73,1219.04
171264,Samuel Prenda Ferreira,084.554.469-19,53,24102.0,2024-06-06,51-55,48,0.05,2024-06-06,0.87,623.4,401.66
161451,Pedro Sande Maia,990.288.137-80,64,44394.0,2024-06-06,61-65,48,0.111,2024-06-06,0.87,1164.1,728.59
158589,Priscila Santos Cunha,901.292.501-04,72,288006.0,2024-06-06,71-75,84,0.33,2024-06-06,0.87,5461.08,2005.01
815,Telma Costa Rodrigues,737.420.164-82,84,96218.0,2024-06-03,81-85,36,0.838,2024-06-03,0.87,3600.17,1956.77
127905,Maria Costa Silva,538.372.751-59,50,248756.0,2024-06-05,46-50,108,0.033,2024-06-05,0.87,3615.76,1369.49
191658,Samuel Rodrigues Ferreira,956.003.791-96,40,236005.0,2024-06-06,36-40,36,0.0112,2024-06-06,0.87,7679.02,5599.34
78623,José Albernaz Sande,459.454.136-40,47,237299.0,2024-06-04,46-50,96,0.033,2024-06-04,0.87,3706.64,1563.83
181599,Samuel Rodrigues Pereira,809.227.985-32,32,225086.0,2024-06-06,31-35,60,0.0095,2024-06-06,0.87,4844.0,2864.37
137754,Fatima Sande Cunha,596.693.337-50,68,297257.0,2024-06-05,66-70,60,0.18,2024-06-05,0.87,6702.8,3581.6
91882,Fatima Ferreira Sande,685.753.749-66,57,243702.0,2024-06-04,56-60,108,0.071,2024-06-04,0.87,3603.81,1310.57
17252,José Albernaz Matos,354.978.438-40,24,175365.0,2024-06-03,21-25,120,0.0073,2024-06-03,0.87,2369.0,830.52
47263,Ana Oliveira Cunha,509.012.797-22,79,150437.0,2024-06-03,76-80,48,0.51,2024-06-03,0.87,4306.7,2230.67
199093,Gloria Maia Souza,116.079.931-80,79,126628.0,2024-06-06,76-80,72,0.51,2024-06-06,0.87,2785.98,1038.51
141120,Gabriel Matos Albernaz,938.502.991-63,39,135075.0,2024-06-05,36-40,84,0.0112,2024-06-05,0.87,2282.7,1092.42
41968,Samuel Santos Rodrigues,748.947.259-83,56,126164.0,2024-06-03,56-60,36,0.071,2024-06-03,0.87,4147.92,2960.72
145574,Augusto Santos Souza,632.003.778-44,20,128458.0,2024-06-05,15-20,60,0.0065,2024-06-05,0.87,2762.21,1636.28
142264,Augusto Sant' Anna Cunha,453.850.373-89,57,174916.0,2024-06-05,56-60,120,0.071,2024-06-05,0.87,2438.47,792.51
110918,Ana Ferreira Souza,469.511.763-02,71,40598.0,2024-06-05,71-75,108,0.33,2024-06-05,0.87,672.66,185.48
164026,João Pereira Costa,870.299.368-68,64,162368.0,2024-06-06,61-65,72,0.111,2024-06-06,0.87,3155.11,1562.28
114915,Leticia Rodrigues Souza,533.892.639-34,23,180231.0,2024-06-05,21-25,72,0.0073,2024-06-05,0.87,3387.08,1805.91
198623,Noemi Oliveira Albernaz,821.117.147-39,77,293219.0,2024-06-06,76-80,48,0.51,2024-06-06,0.87,8394.25,4347.83
20132,Leticia Pereira Matos,606.114.859-31,29,57758.0,2024-06-03,26-30,96,0.0091,2024-06-03,0.87,893.3,385.55
9693,Irani Sant' Anna Rodrigues,671.131.563-47,75,269857.0,2024-06-03,71-75,96,0.33,2024-06-03,0.87,4749.46,1511.18
124181,Rosimeri Oliveira Albernaz,774.320.522-39,45,257549.0,2024-06-05,41-45,96,0.0195,2024-06-05,0.87,4000.54,1709.64
167884,Alexandre Pereira Costa,228.433.321-41,30,64913.0,2024-06-06,26-30,36,0.0091,2024-06-06,0.87,2111.34,1540.69
84216,Ana Cristina Souza,336.699.437-14,88,234977.0,2024-06-04,86-90,60,1.27,2024-06-04,0.87,6990.88,1962.37
119446,João Prenda Matos,438.217.507-07,28,217891.0,2024-06-05,26-30,84,0.0091,2024-06-05,0.87,3679.38,1763.9
24703,Charles Costa Pereira,912.320.668-34,44,78006.0,2024-06-03,41-45,84,0.0195,2024-06-03,0.87,1322.32,628.46
196974,Augusto Matos Cunha,802.166.907-14,79,126927.0,2024-06-06,76-80,36,0.51,2024-06-06,0.87,4497.55,2745.96
20862,Igor Cunha Oliveira,052.428.549-79,51,204318.0,2024-06-03,51-55,48,0.05,2024-06-03,0.87,5284.68,3404.95
32796,Pedro Silva Cristina,210.820.471-71,31,74237.0,2024-06-03,31-35,72,0.0095,2024-06-03,0.87,1396.13,743.22
138693,Maria Rodrigues Ferreira,416.657.440-06,38,298125.0,2024-06-05,36-40,72,0.0112,2024-06-05,0.87,5609.76,2982.68
187868,Pedro Cunha Matos,347.084.301-59,66,34928.0,2024-06-06,66-70,84,0.18,2024-06-06,0.87,627.84,261.1
115159,Gabriel Ferreira Silva,688.796.019-20,23,140521.0,2024-06-05,21-25,96,0.0073,2024-06-05,0.87,2171.72,938.93
77544,Maria Albernaz Costa,625.077.255-32,46,232355.0,2024-06-04,46-50,48,0.033,2024-06-04,0.87,5986.85,3888.68
107573,Augusto Albernaz Oliveira,741.372.199-66,93,241113.0,2024-06-05,91+,120,2.79,2024-06-05,0.87,8944.47,119.73
176497,Irani Santos Souza,613.077.531-83,43,148712.0,2024-06-06,41-45,84,0.0195,2024-06-06,0.87,2520.89,1198.1
73904,Igor Maia Santos,679.792.401-46,43,249511.0,2024-06-04,41-45,96,0.0195,2024-06-04,0.87,3875.69,1656.29
122586,José Sant' Anna Albernaz,993.512.646-37,55,133779.0,2024-06-05,51-55,72,0.05,2024-06-05,0.87,2549.1,1318.33
45624,Carlos Sande Ferreira,226.873.086-76,18,152725.0,2024-06-03,15-20,72,0.0065,2024-06-03,0.87,2869.42,1530.79
52215,Fatima Silva Oliveira,951.441.931-61,81,290612.0,2024-06-04,81-85,72,0.838,2024-06-04,0.87,7044.78,2081.13
103223,Telma Santos Pereira,076.285.453-78,96,37068.0,2024-06-05,91+,108,2.79,2024-06-05,0.87,1385.23,28.54
142916,Gloria Matos Sande,532.080.778-31,56,43804.0,2024-06-05,56-60,60,0.071,2024-06-05,0.87,958.8,546.6
46768,Fatima Cristina Silva,576.544.760-00,78,33497.0,2024-06-03,76-80,108,0.51,2024-06-03,0.87,598.46,136.2
191600,Pedro Souza Cunha,516.126.951-08,40,31101.0,2024-06-06,36-40,108,0.0112,2024-06-06,0.87,447.59,173.53
175861,Marcelo Albernaz Rodrigues,811.727.782-48,41,27942.0,2024-06-06,41-45,108,0.0195,2024-06-06,0.87,403.66,155.12
192994,Igor Santos Silva,776.088.150-94,59,285066.0,2024-06-06,56-60,72,0.071,2024-06-06,0.87,5468.7,2786.23
113754,Pedro Sant' Anna Sande,434.220.082-17,62,182547.0,2024-06-05,61-65,84,0.111,2024-06-05,0.87,3200.24,1409.45
116592,Carlos Cunha Matos,630.216.396-07,23,35689.0,2024-06-05,21-25,48,0.0073,2024-06-05,0.87,914.23,601.13
197611,João Souza Pereira,410.845.236-47,80,265336.0,2024-06-06,76-80,96,0.51,2024-06-06,0.87,5004.12,1342.48
134385,Alexandre Albernaz Sande,330.983.350-09,90,274087.0,2024-06-05,86-90,108,1.27,2024-06-05,0.87,6528.71,663.25
30347,Rosimeri Pereira Cristina,385.195.709-17,33,97134.0,2024-06-03,31-35,48,0.0095,2024-06-03,0.87,2489.49,1635.2
91841,Daniel Santos Silva,471.821.646-04,59,249753.0,2024-06-04,56-60,84,0.071,2024-06-04,0.87,4314.82,1964.64
119738,Augusto Pereira Oliveira,468.985.868-31,29,20055.0,2024-06-05,26-30,36,0.0091,2024-06-05,0.87,652.3,476.0
45664,Priscila Silva Silva,979.742.922-96,19,97028.0,2024-06-03,15-20,36,0.0065,2024-06-03,0.87,3154.47,2304.02
38681,Fatima Ferreira Cunha,940.163.628-14,70,116173.0,2024-06-03,66-70,72,0.18,2024-06-03,0.87,2307.62,1087.8
125583,Priscila Souza Ferreira,885.812.320-43,44,210048.0,2024-06-05,41-45,48,0.0195,2024-06-05,0.87,5395.61,3527.23
168503,Rosimeri Matos Cunha,778.364.281-09,30,282228.0,2024-06-06,26-30,48,0.0091,2024-06-06,0.87,7232.7,4751.63
75683,Alexandre Cunha Sande,731.389.982-32,44,290686.0,2024-06-04,41-45,108,0.0195,2024-06-04,0.87,4199.32,1613.67
130474,Daniel Pereira Albernaz,005.672.627-90,32,28375.0,2024-06-05,31-35,84,0.0095,2024-06-05,0.87,479.22,229.66
13121,Gloria Rodrigues Silva,083.674.876-05,61,71505.0,2024-06-03,61-65,36,0.111,2024-06-03,0.87,2367.21,1665.75
90697,Fatima Sant' Anna Sande,098.444.774-17,39,150878.0,2024-06-04,36-40,96,0.0112,2024-06-04,0.87,2335.56,1006.02
182272,Daniel Prenda Maia,171.773.679-34,31,226128.0,2024-06-06,31-35,60,0.0095,2024-06-06,0.87,4866.42,2877.62
121892,Fatima Costa Ferreira,578.564.890-30,51,185427.0,2024-06-05,51-55,108,0.05,2024-06-05,0.87,2716.13,1010.2
137508,João Ferreira Oliveira,870.386.067-19,68,269086.0,2024-06-05,66-70,120,0.18,2024-06-05,0.87,3954.51,1129.11
61415,Igor Pereira Pereira,465.110.869-50,63,105174.0,2024-06-04,61-65,48,0.111,2024-06-04,0.87,2757.88,1726.12
107593,Igor Rodrigues Costa,192.096.029-51,99,287039.0,2024-06-05,91+,60,2.79,2024-06-05,0.87,11880.14,1374.51
197565,José Maia Ferreira,211.328.329-85,79,136844.0,2024-06-06,76-80,72,0.51,2024-06-06,0.87,3010.75,1122.3
191209,Pedro Sande Santos,800.436.938-30,36,245670.0,2024-06-06,36-40,48,0.0112,2024-06-06,0.87,6298.81,4133.97
32515,José Cunha Cunha,354.130.117-17,35,101756.0,2024-06-03,31-35,96,0.0095,2024-06-03,0.87,1574.05,679.11
45161,Gabriel Sant' Anna Costa,779.935.850-58,20,43041.0,2024-06-03,15-20,108,0.0065,2024-06-03,0.87,618.1,240.85
161462,Daniel Oliveira Matos,560.288.873-07,64,185626.0,2024-06-06,61-65,84,0.111,2024-06-06,0.87,3254.22,1433.23
143162,Gloria Cristina Souza,146.180.607-00,56,216696.0,2024-06-05,56-60,108,0.071,2024-06-05,0.87,3204.45,1165.34
140073,Noemi Matos Rodrigues,290.971.333-43,40,121278.0,2024-06-05,36-40,72,0.0112,2024-06-05,0.87,2282.06,1213.36
85644,Daniel Sant' Anna Oliveira,582.185.521-70,68,27807.0,2024-06-04,66-70,120,0.18,2024-06-04,0.87,408.65,116.68
181156,Ana Oliveira Santos,392.904.716-03,34,88058.0,2024-06-06,31-35,84,0.0095,2024-06-06,0.87,1487.2,712.73
83033,Samuel Cristina Sande,403.092.966-41,90,291495.0,2024-06-04,86-90,48,1.27,2024-06-04,0.87,9776.02,3538.03
78096,Daniel Souza Sant' Anna,316.637.618-68,46,151568.0,2024-06-04,46-50,48,0.033,2024-06-04,0.87,3905.29,2536.63
157756,Pedro Maia Albernaz,937.180.878-04,96,173035.0,2024-06-06,91+,72,2.79,2024-06-06,0.87,6847.77,514.69
186957,Fatima Prenda Rodrigues,215.267.143-02,69,202444.0,2024-06-06,66-70,96,0.18,2024-06-06,0.87,3357.39,1231.73
40000,Augusto Oliveira Rodrigues,744.845.870-17,40,176747.0,2024-06-03,36-40,120,0.0112,2024-06-03,0.87,2392.3,834.81
103122,Telma Santos Sande,570.045.463-73,93,255066.0,2024-06-05,91+,36,2.79,2024-06-05,0.87,12861.45,3526.03
196521,Telma Ferreira Cristina,941.754.208-78,20,107668.0,2024-06-06,15-20,96,0.0065,2024-06-06,0.87,1663.43,719.72
117592,João Sande Santos,715.936.108-31,28,176847.0,2024-06-05,26-30,84,0.0091,2024-06-05,0.87,2986.3,1431.64
