NOME,CPF,IDADE,VALOR_EMPRESTIMO,DATA_EMPRESTIMO,FAIXA_ETARIA,PRAZO_MESES,TAXAS_IDADE,DATA,TAXA_MENSAL_CDI,PRIMEIRA_PARCELA_EMPRESTIMO,AMORTIZACAO,PRIMEIRA_PARCELA_EMPRESTIMO_AUD_CONT,DIFERENÇA_PRIM_PARC
João Sant' Anna Ferreira,950.423.541-74,94,279669.0,2024-06-03,91+,96,2.79,2024-06-03,0.87,10570.982726339633,335.31,10571.2,-0.21727366036793683
Daniel Santos Ferreira,297.039.524-02,92,274879.0,2024-06-03,91+,120,2.79,2024-06-03,0.87,10197.553743537486,136.5,10197.07,0.48374353748658905
Augusto Maia Santos,864.465.660-00,93,24178.0,2024-06-03,91+,36,2.79,2024-06-03,0.87,1217.6548824939678,334.24,1219.15,-1.4951175060323294
Gloria Oliveira Costa,627.877.138-15,93,68851.0,2024-06-03,91+,48,2.79,2024-06-03,0.87,3066.529687840424,546.05,3066.0,0.5296878404237759
Ana Cristina Oliveira,742.690.630-25,98,161861.0,2024-06-03,91+,84,2.79,2024-06-03,0.87,6228.112186451155,304.11,6228.22,-0.10781354884511529
Telma Albernaz Cunha,810.775.598-79,98,199453.0,2024-06-03,91+,60,2.79,2024-06-03,0.87,8254.351239757414,955.1,8255.08,-0.7287602425858495
Alexandre Oliveira Sant' Anna,314.071.222-74,93,296035.0,2024-06-03,91+,108,2.79,2024-06-03,0.87,11063.198922861431,227.96,11062.84,0.3589228614309832
Gloria Albernaz Prenda,315.926.716-40,91,262020.0,2024-06-03,91+,84,2.79,2024-06-03,0.87,10083.621500749232,492.28,10082.21,1.4115007492328004
Irani Albernaz Rodrigues,591.921.265-96,97,210744.0,2024-06-03,91+,96,2.79,2024-06-03,0.87,7966.0027011142065,252.67,7965.9,0.1027011142068659
Maria Pereira Costa,528.338.784-43,93,143794.0,2024-06-03,91+,60,2.79,2024-06-03,0.87,5951.319522678718,688.57,5951.43,-0.11047732128190546
Charles Souza Pereira,276.543.798-03,98,102120.0,2024-06-03,91+,60,2.79,2024-06-03,0.87,4226.20343180978,489.01,4226.6,-0.3965681902200231
Noemi Costa Sande,590.644.715-68,92,148544.0,2024-06-03,91+,60,2.79,2024-06-03,0.87,6149.215603057261,711.32,6148.03,1.1856030572616874
Fatima Rodrigues Cristina,916.390.515-97,95,235976.0,2024-06-03,91+,120,2.79,2024-06-03,0.87,8754.923451926215,117.18,8753.9,1.0234519262157846
Priscila Oliveira Souza,217.287.273-32,96,265168.0,2024-06-03,91+,36,2.79,2024-06-03,0.87,13370.320600896644,3665.68,13370.83,-0.509399103355463
Maria Santos Costa,275.760.089-38,96,203248.0,2024-06-03,91+,72,2.79,2024-06-03,0.87,8042.485015176207,604.55,8043.43,-0.9449848237936749
Augusto Pereira Cunha,447.530.262-56,98,126708.0,2024-06-03,91+,120,2.79,2024-06-03,0.87,4699.006188277951,62.92,4700.43,-1.4238117220493223
Leticia Pereira Prenda,096.402.330-05,74,133116.0,2024-06-03,71-75,36,0.33,2024-06-03,0.87,4575.742231569228,2978.1,4575.49,0.25223156922857015
Alexandre Souza Pereira,707.036.997-25,71,52680.0,2024-06-03,71-75,60,0.33,2024-06-03,0.87,1236.563692835069,604.56,1236.72,-0.15630716493092223
Samuel Matos Silva,800.035.073-43,72,272668.0,2024-06-03,71-75,60,0.33,2024-06-03,0.87,6400.989840889683,3129.17,6401.19,-0.20015911031623546
Marcelo Souza Souza,909.346.961-44,74,256569.0,2024-06-03,71-75,60,0.33,2024-06-03,0.87,6022.432245550584,2944.42,6023.25,-0.8177544494155882
Irani Maia Cristina,234.382.224-77,75,215105.0,2024-06-03,71-75,120,0.33,2024-06-03,0.87,3391.830587064235,810.53,3391.79,0.04058706423484182
Augusto Sande Santos,727.288.343-00,73,232819.0,2024-06-03,71-75,84,0.33,2024-06-03,0.87,4415.444839331536,1620.81,4414.64,0.8048393315357316
Gabriel Albernaz Souza,622.701.540-70,75,284511.0,2024-06-03,71-75,60,0.33,2024-06-03,0.87,6678.059976032543,3265.09,6679.22,-1.160023967457164
Daniel Pereira Sant' Anna,148.462.721-09,75,184254.0,2024-06-03,71-75,120,0.33,2024-06-03,0.87,2906.2108036046816,694.28,2905.33,0.8808036046816596
Samuel Pereira Maia,242.428.801-11,74,254583.0,2024-06-03,71-75,108,0.33,2024-06-03,0.87,4219.161724907764,1163.11,4218.11,1.0517249077647648
Priscila Souza Oliveira,302.352.199-91,75,219086.0,2024-06-03,71-75,36,0.33,2024-06-03,0.87,7531.821575524684,4901.44,7530.47,1.3515755246835397
Samuel Santos Cristina,438.321.778-84,72,66980.0,2024-06-03,71-75,84,0.33,2024-06-03,0.87,1270.0356610185363,466.29,1270.05,-0.01433898146365209
João Oliveira Ferreira,812.015.065-14,71,250466.0,2024-06-03,71-75,60,0.33,2024-06-03,0.87,5880.284406811524,2874.39,5879.98,0.3044068115241316
Alexandre Ferreira Cristina,952.859.222-83,73,58042.0,2024-06-03,71-75,108,0.33,2024-06-03,0.87,961.8444033154452,265.18,961.68,0.16440331544526998
Gloria Cristina Maia,032.815.596-97,72,150656.0,2024-06-03,71-75,96,0.33,2024-06-03,0.87,2650.5794446832,843.66,2651.53,-0.9505553168000915
Samuel Costa Sande,973.187.329-51,71,135329.0,2024-06-03,71-75,96,0.33,2024-06-03,0.87,2382.9088533151853,757.83,2381.78,1.128853315185097
Priscila Cristina Ferreira,624.775.279-24,64,58181.0,2024-06-03,61-65,96,0.111,2024-06-03,0.87,937.5392212168103,367.57,938.33,-0.790778783189694
Ana Silva Rodrigues,800.453.524-02,61,31659.0,2024-06-03,61-65,48,0.111,2024-06-03,0.87,829.4758479537679,519.59,830.16,-0.6841520462320432
Daniel Maia Cristina,738.331.484-03,65,184151.0,2024-06-03,61-65,96,0.111,2024-06-03,0.87,2970.9714373413844,1163.44,2969.96,1.0114373413844078
Fatima Cristina Costa,763.115.030-34,62,285589.0,2024-06-03,61-65,84,0.111,2024-06-03,0.87,5007.03572816596,2205.04,5006.67,0.3657281659598084
Noemi Santos Matos,219.306.442-30,63,189900.0,2024-06-03,61-65,72,0.111,2024-06-03,0.87,3689.027439568183,1827.18,3690.1,-1.0725604318167825
Alexandre Albernaz Oliveira,249.753.713-59,62,67129.0,2024-06-03,61-65,60,0.111,2024-06-03,0.87,1484.95821144332,826.98,1485.52,-0.5617885566800851
Carlos Ferreira Cristina,020.374.524-89,63,177147.0,2024-06-03,61-65,48,0.111,2024-06-03,0.87,4645.2000801985705,2907.34,4645.15,0.05008019857086765
Gabriel Silva Ferreira,066.099.213-26,62,166439.0,2024-06-03,61-65,72,0.111,2024-06-03,0.87,3235.21751346659,1601.44,3234.21,1.0075134665898986
Ana Albernaz Santos,774.814.750-75,61,56158.0,2024-06-03,61-65,60,0.111,2024-06-03,0.87,1243.2906269505895,691.83,1242.74,0.5506269505895034
Igor Cristina Souza,425.423.797-93,64,137908.0,2024-06-03,61-65,60,0.111,2024-06-03,0.87,3052.072658434311,1698.94,3051.82,0.25265843431088797
Leticia Santos Sant' Anna,031.182.966-07,65,24369.0,2024-06-03,61-65,36,0.111,2024-06-03,0.87,806.1732397231209,567.69,806.75,-0.5767602768790994
Pedro Silva Sande,799.952.105-17,65,178628.0,2024-06-03,61-65,36,0.111,2024-06-03,0.87,5914.055286541437,4161.23,5913.57,0.48528654143774475
Rosimeri Sant' Anna Rodrigues,744.769.034-10,62,117069.0,2024-06-03,61-65,120,0.111,2024-06-03,0.87,1664.1111068188686,515.76,1664.21,-0.09889318113141599
Gloria Cunha Matos,588.337.116-76,65,67178.0,2024-06-03,61-65,96,0.111,2024-06-03,0.87,1082.3781080347826,424.42,1083.44,-1.0618919652174554
Gabriel Oliveira Albernaz,916.851.585-52,61,145630.0,2024-06-03,61-65,84,0.111,2024-06-03,0.87,2554.2382707076044,1124.41,2553.04,1.198270707604479
Augusto Ferreira Cunha,539.647.587-01,61,190377.0,2024-06-03,61-65,84,0.111,2024-06-03,0.87,3336.1032054212856,1469.91,3337.51,-1.4067945787146527
Gloria Souza Cristina,518.504.024-69,61,27914.0,2024-06-03,61-65,36,0.111,2024-06-03,0.87,923.7273685175568,650.27,924.11,-0.3826314824432302
Carlos Prenda Santos,780.540.698-71,24,288553.0,2024-06-03,21-25,48,0.0073,2024-06-03,0.87,7392.670205254399,4860.3,7391.78,0.8902052543990067
Maria Cunha Rodrigues,046.048.591-16,21,47463.0,2024-06-03,21-25,120,0.0073,2024-06-03,0.87,640.9552509307724,224.79,641.18,-0.2247490692275278
Noemi Silva Costa,366.015.514-49,25,268274.0,2024-06-03,21-25,36,0.0073,2024-06-03,0.87,8723.055372259829,6369.48,8723.05,0.005372259829528048
Irani Sant' Anna Costa,379.136.256-94,22,94918.0,2024-06-03,21-25,96,0.0073,2024-06-03,0.87,1467.7158015348564,634.22,1466.94,0.7758015348563276
Alexandre Rodrigues Rodrigues,631.010.027-02,21,27904.0,2024-06-03,21-25,96,0.0073,2024-06-03,0.87,432.1540814642256,186.45,431.25,0.9040814642256123
Pedro Costa Cristina,133.961.664-50,22,116278.0,2024-06-03,21-25,84,0.0073,2024-06-03,0.87,1962.3742719239533,942.09,1962.2,0.1742719239532562
Samuel Cunha Cunha,719.718.058-90,23,174321.0,2024-06-03,21-25,120,0.0073,2024-06-03,0.87,2354.299761140648,825.58,2354.9,-0.6002388593519754
Marcelo Oliveira Sande,554.167.837-45,25,132336.0,2024-06-03,21-25,84,0.0073,2024-06-03,0.87,2234.034220416643,1072.2,2233.18,0.8542204166433294
Fatima Maia Oliveira,703.018.129-85,25,199694.0,2024-06-03,21-25,36,0.0073,2024-06-03,0.87,6494.287365692138,4741.22,6493.14,1.1473656921380098
Telma Silva Maia,134.836.079-86,23,30053.0,2024-06-03,21-25,72,0.0073,2024-06-03,0.87,565.1125471433616,301.14,564.79,0.3225471433615894
Noemi Maia Pereira,581.158.883-62,21,176261.0,2024-06-03,21-25,96,0.0073,2024-06-03,0.87,2725.366056690522,1177.73,2724.07,1.2960566905217092
Maria Prenda Sant' Anna,750.579.242-30,23,65387.0,2024-06-03,21-25,36,0.0073,2024-06-03,0.87,2124.8645840186414,1552.45,2126.09,-1.2254159813587648
Pedro Maia Albernaz,739.001.678-77,23,140177.0,2024-06-03,21-25,120,0.0073,2024-06-03,0.87,1892.274805039989,663.88,1893.65,-1.3751949600111857
Rosimeri Sande Sande,203.111.675-43,22,279599.0,2024-06-03,21-25,96,0.0073,2024-06-03,0.87,4319.978340015529,1868.22,4321.14,-1.1616599844710436
Gloria Rodrigues Pereira,186.113.459-24,23,204712.0,2024-06-03,21-25,72,0.0073,2024-06-03,0.87,3846.066820653341,2051.21,3847.15,-1.083179346659108
Rosimeri Prenda Ferreira,928.496.103-30,22,193610.0,2024-06-03,21-25,96,0.0073,2024-06-03,0.87,2992.172007817136,1293.66,2992.2,-0.027992182863727066
Gabriel Ferreira Souza,370.139.093-27,24,113817.0,2024-06-03,21-25,120,0.0073,2024-06-03,0.87,1536.5497324503065,539.03,1537.55,-1.0002675496934899
Samuel Silva Albernaz,155.324.630-69,22,166087.0,2024-06-03,21-25,48,0.0073,2024-06-03,0.87,4254.485823502883,2797.52,4254.6,-0.1141764971171142
Gabriel Costa Costa,868.945.877-87,21,192296.0,2024-06-03,21-25,84,0.0073,2024-06-03,0.87,3244.886744669117,1558.0,3245.01,-0.12325533088323937
Alexandre Santos Costa,960.671.775-52,28,180916.0,2024-06-03,26-30,108,0.0091,2024-06-03,0.87,2600.0824743320923,1010.74,2601.17,-1.087525667907812
Charles Santos Sande,108.811.744-91,26,32571.0,2024-06-03,26-30,108,0.0091,2024-06-03,0.87,467.8671440297001,181.97,468.3,-0.4328559702998973
Telma Costa Ferreira,424.336.943-70,29,193220.0,2024-06-03,26-30,96,0.0091,2024-06-03,0.87,2987.70114883582,1289.8,2988.4,-0.6988511641802688
Fatima Albernaz Albernaz,678.970.516-33,27,144919.0,2024-06-03,26-30,108,0.0091,2024-06-03,0.87,2083.6035564945964,809.64,2083.62,-0.016443505403458403
Rosimeri Cristina Oliveira,055.519.216-46,29,119244.0,2024-06-03,26-30,96,0.0091,2024-06-03,0.87,1843.7385125675175,796.0,1844.27,-0.5314874324824359
Igor Ferreira Oliveira,368.868.275-02,29,141461.0,2024-06-03,26-30,108,0.0091,2024-06-03,0.87,2033.295483304715,790.32,2033.9,-0.604516695285156
Pedro Cristina Ferreira,374.456.803-22,26,266489.0,2024-06-03,26-30,120,0.0091,2024-06-03,0.87,3602.7134576975013,1260.51,3603.21,-0.49654230249871034
Maria Ferreira Rodrigues,949.904.004-88,26,136506.0,2024-06-03,26-30,72,0.0091,2024-06-03,0.87,2568.139145153345,1366.84,2566.86,1.2791451533448708
Augusto Costa Cristina,955.388.770-86,27,250513.0,2024-06-03,26-30,96,0.0091,2024-06-03,0.87,3873.225066533175,1672.25,3874.51,-1.2849334668253505
Alexandre Cunha Rodrigues,113.998.936-70,30,117595.0,2024-06-03,26-30,36,0.0091,2024-06-03,0.87,3824.75331169283,2791.07,3824.85,-0.09668830717009769
Marcelo Cristina Sande,230.087.642-66,29,283638.0,2024-06-03,26-30,84,0.0091,2024-06-03,0.87,4790.433550321468,2296.14,4789.6,0.8335503214675555
Fatima Sande Rodrigues,426.293.899-95,30,207917.0,2024-06-03,26-30,72,0.0091,2024-06-03,0.87,3910.640051975453,2081.87,3909.67,0.9700519754528614
Pedro Matos Matos,206.709.639-76,27,256544.0,2024-06-03,26-30,120,0.0091,2024-06-03,0.87,3470.1521882263414,1213.47,3468.75,1.4021882263414227
Telma Sande Pereira,819.860.479-03,28,268069.0,2024-06-03,26-30,120,0.0091,2024-06-03,0.87,3624.617813718457,1267.99,3624.58,0.037813718457073264
Alexandre Rodrigues Silva,750.536.820-62,27,150387.0,2024-06-03,26-30,108,0.0091,2024-06-03,0.87,2162.802691557376,840.18,2162.23,0.572691557375947
Priscila Maia Cunha,975.081.111-92,28,25161.0,2024-06-03,26-30,84,0.0091,2024-06-03,0.87,426.19377412629245,203.69,424.88,1.3137741262924578
Igor Ferreira Cunha,871.903.142-45,27,133815.0,2024-06-03,26-30,84,0.0091,2024-06-03,0.87,2259.915813565335,1083.27,2259.64,0.2758135653352838
Priscila Pereira Santos,677.501.317-52,55,173454.0,2024-06-03,51-55,108,0.05,2024-06-03,0.87,2541.056995525497,944.97,2540.75,0.30699552549685905
Samuel Oliveira Sande,791.906.865-78,51,81364.0,2024-06-03,51-55,96,0.05,2024-06-03,0.87,1280.7732309613857,531.31,1279.86,0.913230961385807
Telma Oliveira Cristina,152.536.928-86,55,207865.0,2024-06-03,51-55,108,0.05,2024-06-03,0.87,3044.524099777781,1132.44,3044.8,-0.2759002222192066
Irani Oliveira Maia,786.205.471-78,52,271886.0,2024-06-03,51-55,48,0.05,2024-06-03,0.87,7032.253053865629,4530.97,7032.32,-0.06694613437048247
Alexandre Sant' Anna Pereira,424.706.950-07,55,28035.0,2024-06-03,51-55,48,0.05,2024-06-03,0.87,724.237223087128,467.2,725.12,-0.882776912872032
Irani Rodrigues Sant' Anna,730.713.857-30,52,191235.0,2024-06-03,51-55,36,0.05,2024-06-03,0.87,6264.22007661308,4505.05,6264.41,-0.18992338691987243
Priscila Matos Ferreira,678.345.190-93,52,110299.0,2024-06-03,51-55,60,0.05,2024-06-03,0.87,2399.587248749296,1385.62,2400.37,-0.7827512507037682
José Santos Costa,941.297.383-72,54,221216.0,2024-06-03,51-55,96,0.05,2024-06-03,0.87,3479.069215064148,1444.54,3479.73,-0.660784935852007
Priscila Oliveira Santos,935.605.417-78,52,267173.0,2024-06-03,51-55,60,0.05,2024-06-03,0.87,5815.241737595339,3356.33,5814.32,0.9217375953394367
Priscila Sande Maia,709.984.579-90,55,244714.0,2024-06-03,51-55,84,0.05,2024-06-03,0.87,4194.776816708962,1943.88,4195.25,-0.4731832910383673
Charles Souza Ferreira,616.859.999-13,52,158009.0,2024-06-03,51-55,84,0.05,2024-06-03,0.87,2709.124027243863,1255.14,2708.82,0.3040272438629472
José Santos Souza,362.867.916-80,51,213389.0,2024-06-03,51-55,84,0.05,2024-06-03,0.87,3656.967485770181,1695.05,3658.23,-1.262514229818862
Pedro Prenda Ferreira,782.895.919-26,52,279219.0,2024-06-03,51-55,108,0.05,2024-06-03,0.87,4091.25691580046,1521.18,4089.99,1.2669158004600831
Daniel Silva Maia,874.735.647-22,55,155290.0,2024-06-03,51-55,36,0.05,2024-06-03,0.87,5087.149378189314,3658.27,5086.94,0.20937818931452057
Carlos Souza Matos,844.061.125-02,52,70049.0,2024-06-03,51-55,48,0.05,2024-06-03,0.87,1810.4609031662465,1167.36,1811.81,-1.3490968337534923
Charles Sande Souza,767.613.920-12,53,49690.0,2024-06-03,51-55,60,0.05,2024-06-03,0.87,1080.5423277580237,624.22,1081.37,-0.8276722419761882
Carlos Silva Costa,533.137.025-03,55,195442.0,2024-06-03,51-55,96,0.05,2024-06-03,0.87,3074.6800659171954,1276.23,3074.3,0.38006591719522476
Igor Costa Maia,011.091.810-00,53,147298.0,2024-06-03,51-55,84,0.05,2024-06-03,0.87,2526.428283398407,1170.06,2525.2,1.2282833984072568
Gabriel Souza Costa,331.519.592-70,52,89968.0,2024-06-03,51-55,84,0.05,2024-06-03,0.87,1541.353817976807,714.65,1542.36,-1.0061820231928778
Augusto Sande Oliveira,448.871.619-99,42,192883.0,2024-06-03,41-45,48,0.0195,2024-06-03,0.87,4955.6053440949445,3238.99,4954.68,0.9253440949441938
Leticia Cunha Albernaz,844.321.872-04,45,66900.0,2024-06-03,41-45,48,0.0195,2024-06-03,0.87,1717.4453915390868,1123.41,1718.49,-1.0446084609131958
Gabriel Albernaz Sant' Anna,669.214.595-35,44,71678.0,2024-06-03,41-45,120,0.0195,2024-06-03,0.87,973.655593362737,336.6,974.18,-0.5244066372629277
Irani Rodrigues Cristina,473.049.415-61,43,272039.0,2024-06-03,41-45,36,0.0195,2024-06-03,0.87,8864.853567909087,6444.48,8864.27,0.5835679090869235
Priscila Matos Silva,461.160.802-60,44,109419.0,2024-06-03,41-45,120,0.0195,2024-06-03,0.87,1487.5554747929953,513.85,1487.13,0.42547479299514634
Telma Cristina Silva,739.984.804-12,43,69613.0,2024-06-03,41-45,60,0.0195,2024-06-03,0.87,1503.6482507735534,883.05,1502.26,1.388250773553409
Rosimeri Matos Sande,107.657.638-93,41,188945.0,2024-06-03,41-45,120,0.0195,2024-06-03,0.87,2566.9386502535717,887.3,2567.97,-1.0313497464280772
João Costa Oliveira,026.284.274-27,43,253765.0,2024-06-03,41-45,84,0.0195,2024-06-03,0.87,4300.28913533628,2044.46,4301.7,-1.4108646637196216
Fatima Matos Matos,120.498.932-05,44,167193.0,2024-06-03,41-45,60,0.0195,2024-06-03,0.87,3607.511803900079,2120.88,3608.06,-0.548196099920915
Marcelo Santos Santos,824.141.806-09,43,289991.0,2024-06-03,41-45,120,0.0195,2024-06-03,0.87,3939.8375411787633,1361.83,3941.3,-1.4624588212368508
João Ferreira Prenda,251.318.750-48,41,47052.0,2024-06-03,41-45,108,0.0195,2024-06-03,0.87,679.5847052083986,261.19,679.72,-0.1352947916013818
José Costa Matos,750.147.757-48,43,255306.0,2024-06-03,41-45,48,0.0195,2024-06-03,0.87,6558.611414431924,4287.22,6558.17,0.4414144319234765
Telma Souza Cristina,505.181.043-89,44,236759.0,2024-06-03,41-45,60,0.0195,2024-06-03,0.87,5109.950227147288,3003.34,5109.31,0.6402271472879875
Charles Silva Matos,237.051.314-43,50,299858.0,2024-06-03,46-50,36,0.033,2024-06-03,0.87,9794.963483087076,7085.97,9793.69,1.2734830870758742
Priscila Ferreira Silva,917.386.488-93,49,127108.0,2024-06-03,46-50,48,0.033,2024-06-03,0.87,3275.155560655918,2127.27,3275.06,0.09556065591823426
Telma Cunha Cristina,577.200.578-21,46,86988.0,2024-06-03,46-50,36,0.033,2024-06-03,0.87,2839.744776973402,2055.62,2841.12,-1.3752230265977232
Ana Santos Souza,226.132.500-20,47,191697.0,2024-06-03,46-50,36,0.033,2024-06-03,0.87,6259.716538375772,4530.02,6261.04,-1.3234616242280026
Gabriel Cunha Silva,428.887.040-21,47,132005.0,2024-06-03,46-50,120,0.033,2024-06-03,0.87,1804.8322664534317,614.13,1806.14,-1.3077335465684428
Pedro Albernaz Santos,922.987.717-40,48,42539.0,2024-06-03,46-50,96,0.033,2024-06-03,0.87,663.7233459668248,280.33,664.46,-0.7366540331752276
Rosimeri Cristina Santos,194.786.928-01,50,284985.0,2024-06-03,46-50,84,0.033,2024-06-03,0.87,4856.249191094254,2281.69,4855.1,1.149191094253183
Leticia Santos Rodrigues,280.384.751-51,47,199845.0,2024-06-03,46-50,84,0.033,2024-06-03,0.87,3403.138112078356,1600.03,3404.63,-1.4918879216443202
Igor Pereira Silva,166.861.103-10,48,220829.0,2024-06-03,46-50,84,0.033,2024-06-03,0.87,3762.119407750706,1768.03,3762.12,-0.0005922492937315837
Priscila Oliveira Albernaz,544.789.798-04,48,141448.0,2024-06-03,46-50,60,0.033,2024-06-03,0.87,3063.9930496511624,1786.59,3063.87,0.12304965116254607
Carlos Silva Silva,767.584.655-94,48,250454.0,2024-06-03,46-50,36,0.033,2024-06-03,0.87,8179.307461121054,5918.5,8180.1,-0.7925388789462886
Gabriel Sande Albernaz,582.916.324-13,34,268845.0,2024-06-03,31-35,84,0.0095,2024-06-03,0.87,4539.780567294139,2175.99,4540.48,-0.6994327058609997
Fatima Cunha Maia,821.631.264-47,31,168830.0,2024-06-03,31-35,96,0.0095,2024-06-03,0.87,2612.424028697996,1126.75,2611.61,0.8140286979960365
Samuel Oliveira Silva,999.692.268-51,34,98947.0,2024-06-03,31-35,48,0.0095,2024-06-03,0.87,2534.926502234367,1665.72,2535.96,-1.033497765633001
Augusto Maia Santos,033.947.672-95,35,263336.0,2024-06-03,31-35,72,0.0095,2024-06-03,0.87,4952.231215008115,2636.37,4952.41,-0.17878499188464048
Alexandre Prenda Silva,818.172.471-23,35,36900.0,2024-06-03,31-35,108,0.0095,2024-06-03,0.87,531.2905139985243,206.1,530.64,0.6505139985242749
Carlos Matos Costa,925.202.509-09,31,115677.0,2024-06-03,31-35,60,0.0095,2024-06-03,0.87,2489.324848743399,1472.07,2489.45,-0.12515125660092963
Maria Ferreira Ferreira,177.285.652-57,35,153517.0,2024-06-03,31-35,72,0.0095,2024-06-03,0.87,2885.864404849462,1536.93,2887.11,-1.2455951505380654
Gloria Albernaz Silva,422.987.178-34,35,199794.0,2024-06-03,31-35,96,0.0095,2024-06-03,0.87,3090.151796495644,1333.4,3090.59,-0.4382035043563519
Rosimeri Cristina Maia,111.915.105-81,31,203975.0,2024-06-03,31-35,108,0.0095,2024-06-03,0.87,2933.207403458488,1139.29,2933.25,-0.042596541512011754
Samuel Pereira Silva,949.436.312-40,31,183352.0,2024-06-03,31-35,120,0.0095,2024-06-03,0.87,2480.783289916308,867.03,2479.61,1.173289916308022
Telma Ferreira Souza,815.498.603-56,32,270708.0,2024-06-03,31-35,60,0.0095,2024-06-03,0.87,5825.912374719186,3444.93,5825.81,0.10237471918571828
